Player ,09/14vs. SFO,09/20vs. DET,09/27vs. SDG,10/04vs. DEN,10/18vs. KAN,10/25vs. DET,11/01vs. CHI,11/08vs. STL,11/15vs. OAK,11/22vs. GNB,11/29vs. ATL,12/06vs. SEA,12/10vs. ARI,12/20vs. CHI,12/27vs. NYG,01/03vs. GNB,01/10vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Matt Asiata,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,
Anthony Barr,,,,,,,,Q,Q,P,P,Q,O,O,P,,,,,,,,,,,,,,,
Joe Berger,,,,,,,,P,,,,,,,,,,61.0,33.0,C,16.0,16.0,305.0,2020-06-05,Michigan Tech,1982-05-25,10,7.0,Carolina Panthers / 6th / 207th pick / 2005,1120000.0
Robert Blanton,,,,,,,,,,Q,P,P,Q,P,,,,,,,,,,,,,,,,
Teddy Bridgewater,,,,,,,,,Q,P,P,,,,,,,,,,,,,,,,,,,
T.J. Clemmings,,,,,,P,,P,,,,,,,,,,68.0,24.0,RT,16.0,16.0,337.0,2020-06-04,Pittsburgh,1991-11-18,Rook,9.0,Minnesota Vikings / 4th / 110th pick / 2015,566238.0
Audie Cole,,,,Q,,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Scott Crichton,,,,,,,,,,,,,P,IR,IR,IR,IR,,,,,,,,,,,,,
Stefon Diggs,,,,,,,,P,,,,,,,,,,14.0,22.0,WR,13.0,9.0,191.0,2000-06-01,Maryland,1993-11-29,Rook,8.0,Minnesota Vikings / 5th / 146th pick / 2015,491928.0
Kenrick Ellis,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Rhett Ellison,,,,,P,,O,P,,,,,,,P,,,85.0,27.0,TE,15.0,9.0,255.0,2020-06-05,USC,1988-10-03,3,1.0,Minnesota Vikings / 4th / 128th pick / 2012,1617146.0
Antone Exum,,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sharrif Floyd,,,,,,O,O,O,P,P,P,,,,,P,,73.0,23.0,LDT,13.0,12.0,297.0,2020-06-03,Florida,1992-05-28,2,6.0,Minnesota Vikings / 1st / 23rd pick / 2013,2202600.0
Chase Ford,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Fusco,,,Q,,,,,,,,,,,,,,,63.0,27.0,LG,16.0,16.0,306.0,2020-06-04,Slippery Rock,1988-07-26,4,7.0,Minnesota Vikings / 6th / 172nd pick / 2011,3485000.0
Everson Griffen,,,,,,P,,P,,,Q,,,Q,P,P,P,,,,,,,,,,,,,
Anthony Harris,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
Charles Johnson,,,,O,Q,P,,,,,,,,O,P,,,,,,,,,,,,,,,
Tom Johnson,,,,,,,P,P,,P,,,,,,,,92.0,31.0,LDT,16.0,8.0,285.0,2020-06-03,Southern Miss,1984-08-30,4,5.0,,2300000.0
Linval Joseph,,,,,,,,,P,,,O,O,Q,P,D,P,98.0,27.0,RDT,12.0,12.0,329.0,2020-06-04,East Carolina,1988-10-10,5,6.0,New York Giants / 2nd / 46th pick / 2010,4600000.0
Matt Kalil,,,,,,,,,,Q,P,,,,,P,,75.0,26.0,LT,16.0,16.0,315.0,2020-06-07,USC,1989-07-06,3,9.0,Minnesota Vikings / 1st / 4th pick / 2012,6290644.0
Eric Kendricks,,,,,,,,O,D,P,P,,,,,,,54.0,23.0,MLB,14.0,11.0,232.0,2000-06-01,UCLA,1992-02-29,Rook,6.0,Minnesota Vikings / 2nd / 45th pick / 2015,937440.0
Zach Line,P,,,,,,P,,,,,,,,,,,48.0,25.0,rb,16.0,5.0,233.0,2020-06-01,SMU,1990-04-26,2,1.0,,585000.0
Phil Loadholt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Casey Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jerick McKinnon,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
Captain Munnerlyn,,,,,,P,,,,,,,,,,,,24.0,27.0,db,16.0,5.0,195.0,2020-05-09,South Carolina,1988-04-10,6,4.0,Carolina Panthers / 7th / 216th pick / 2009,4333333.0
Terence Newman,,,,,,P,,,P,,,,,,,,,23.0,37.0,LCB,16.0,16.0,197.0,2020-05-10,Kansas St.,1978-09-04,12,6.0,Dallas Cowboys / 1st / 5th pick / 2003,2453125.0
Cordarrelle Patterson,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
Adrian Peterson,,,,,,P,P,,,P,,,,,P,P,P,,,,,,,,,,,,,
Jabari Price,,,,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
MyCole Pruitt,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Rhodes,,,,P,,,,,,,,,,,,,,29.0,25.0,RCB,16.0,16.0,218.0,2020-06-01,Florida St.,1990-06-19,2,6.0,Minnesota Vikings / 1st / 25th pick / 2013,2129046.0
Josh Robinson,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
Brian Robison,,,,,,,,,P,,,,,,,,,96.0,32.0,LDE,16.0,16.0,259.0,2020-06-03,Texas,1983-04-27,8,8.0,Minnesota Vikings / 4th / 102nd pick / 2007,5650000.0
Andrew Sendejo,,,,O,Q,,,,,,,O,O,P,,,,34.0,28.0,SS,13.0,13.0,210.0,2020-06-01,Rice,1987-09-09,5,5.0,,1066668.0
Marcus Sherels,,,,,,,,,Q,P,,,,,,,,,,,,,,,,,,,,
Harrison Smith,,,,,,,,P,,,Q,Q,O,O,P,P,,,,,,,,,,,,,,
Shamar Stephen,P,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
John Sullivan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Adam Thielen,,,,,,,P,,,P,,,,,,P,P,,,,,,,,,,,,,
Justin Trattou,,,,O,O,O,O,O,O,P,,,,,,,,,,,,,,,,,,,,
Mike Wallace,,,,,P,,,,,,,,,,,,,11.0,29.0,WR,16.0,12.0,200.0,2000-06-01,Mississippi,1986-08-01,6,5.0,Pittsburgh Steelers / 3rd / 84th pick / 2009,9900000.0
Brandon Watts,,,,,,,,,,,,,O,P,,,,,,,,,,,,,,,,
Trae Waynes,,,,,,,,,,,Q,P,,,,,,,,,,,,,,,,,,
Jarius Wright,,,,Q,P,P,P,,,,,,,,,,,,,,,,,,,,,,,
