Player ,09/11vs. GNB,09/18vs. SDG,09/25vs. BAL,10/02vs. IND,10/16vs. CHI,10/23vs. OAK,10/27vs. TEN,11/06vs. KAN,11/13vs. HOU,11/20vs. DET,11/27vs. BUF,12/04vs. DEN,12/11vs. MIN,12/18vs. HOU,12/24vs. TEN,01/01vs. IND,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Arrelious Benn,,,,,,,,,,,Q,,,,O,,,,,,,,,,,,,,
Michael Bennett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Luke Bowanko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
Aaron Colvin,,,,,,,,Q,,,Q,,,,IR,IR,,,,,,,,,,,,,
Tashaun Gipson,,,Q,,,,,,Q,,,,,,,,39.0,26.0,FS,16.0,16.0,212.0,2020-06-01,Wyoming,1990-08-07,4,6.0,,4206250.0
Corey Grant,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Rashad Greene,,,,,Q,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Allen Hurns,,,,,,,,,Q,,,O,O,O,O,Q,88.0,25.0,WR,11.0,11.0,195.0,2020-06-03,Miami (FL),1991-11-12,2,3.0,,9001668.0
Chris Ivory,Q,O,Q,,,,,,,,,O,Q,,,Q,,,,,,,,,,,,,
Luke Joeckel,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Abry Jones,,,,,,,,,,,Q,,,,,,95.0,25.0,RDT,15.0,9.0,318.0,2020-06-04,Georgia,1991-09-08,3,5.0,,2553000.0
Ben Koyack,,,O,O,,,,,,,,,,,,,83.0,23.0,te,14.0,7.0,258.0,2020-06-05,Notre Dame,1993-04-09,Rook,1.0,Jacksonville Jaguars / 7th / 229th pick / 2015,450000.0
Marqise Lee,,,,,,,,,,,,,,,,Q,11.0,25.0,wr,16.0,6.0,196.0,2000-06-01,USC,1991-11-25,2,7.0,Jacksonville Jaguars / 2nd / 39th pick / 2014,1411097.0
Marcedes Lewis,,,,,,,,,,,IR,IR,IR,IR,IR,IR,89.0,32.0,TE,10.0,10.0,267.0,2020-06-06,UCLA,1984-05-19,10,1.0,Jacksonville Jaguars / 1st / 28th pick / 2006,4000000.0
Brandon Linder,,,Q,,,,,,,,,,Q,,,,65.0,24.0,C,14.0,14.0,315.0,2020-06-06,Miami (FL),1992-01-25,2,5.0,Jacksonville Jaguars / 3rd / 93rd pick / 2014,745400.0
Jeff Linkenbach,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Roy Miller,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,97.0,29.0,rdt,6.0,6.0,301.0,2020-06-01,Texas,1987-07-09,7,3.0,Tampa Bay Buccaneers / 3rd / 81st pick / 2009,3975000.0
Yannick Ngakoue,,,,,,,,,,,,Q,,,,,91.0,21.0,LDE,16.0,15.0,246.0,2020-06-02,Maryland,1995-03-31,Rook,7.0,Jacksonville Jaguars / 3rd / 69th pick / 2016,664044.0
Jared Odrick,Q,,Q,O,,Q,Q,O,,,IR,IR,IR,IR,IR,IR,75.0,29.0,rde,6.0,6.0,301.0,2020-06-05,Penn St.,1987-12-31,6,3.0,Miami Dolphins / 1st / 28th pick / 2010,8000000.0
Patrick Omameh,,,,,,,,,,,IR,IR,IR,IR,IR,IR,77.0,27.0,LG,10.0,7.0,327.0,2020-06-04,Michigan,1989-12-29,3,2.0,,675000.0
Sean Porter,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,
Jeremiah Poutasi,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Chris Reed,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Denard Robinson,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,,
James Sample,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dan Skuta,,,,Q,,,,,,Q,O,,Q,,,,,,,,,,,,,,,,
Chris Smith,,,,,,,,,Q,O,O,,,,,,,,,,,,,,,,,,
Neal Sterling,,,,,Q,Q,,,,Q,,,,,O,Q,,,,,,,,,,,,,
Julius Thomas,,,,,,,,,,,IR,IR,IR,IR,IR,IR,80.0,28.0,TE,9.0,6.0,256.0,2020-06-05,Portland St.,1988-06-27,5,2.0,Denver Broncos / 4th / 129th pick / 2011,7300000.0
Peyton Thompson,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,
Bryan Walters,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,
Josh Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,,,,,,,,,,,
Jonathan Woodard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shane Wynn,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
T.J. Yeldon,,,,,,,,,,,Q,,,,,IR,24.0,23.0,RB,15.0,13.0,223.0,2020-06-01,Alabama,1993-10-02,1,5.0,Jacksonville Jaguars / 2nd / 36th pick / 2015,1344040.0
