Player ,09/13vs. LVR,09/20vs. TAM,09/27vs. LAC,10/04vs. ARI,10/11vs. ATL,10/18vs. CHI,10/25vs. NOR,10/29vs. ATL,11/08vs. KAN,11/15vs. TAM,11/22vs. DET,11/29vs. MIN,12/13vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Eli Apple,IR,IR,IR,IR,O,Q,Q,,,,,,,,,,,,,,,,,,,
Omar Bayless,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Reggie Bonnafon,,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Teddy Bridgewater,,,,,,,,,,,Q,,,5.0,28.0,QB,12.0,12.0,215.0,2020-06-02,Louisville,1992-11-10,6,,Minnesota Vikings / 1st / 32nd pick / 2014,8000000.0
Derrick Brown,,,,,,,,,,,,,C19,95.0,22.0,DL,13.0,12.0,326.0,2020-06-05,Auburn,1998-04-15,Rook,,Carolina Panthers / 1st / 7th pick / 2020,610000.0
Juston Burris,,,,,,,IR,IR,IR,IR,,,,31.0,27.0,CB,10.0,9.0,212.0,2000-06-01,North Carolina St.,1993-08-04,4,,New York Jets / 4th / 118th pick / 2016,910000.0
Jeremy Chinn,,,,,,,,,Q,Q,,,,21.0,22.0,S,12.0,12.0,221.0,2020-06-03,Southern Illinois,1998-02-26,Rook,,Carolina Panthers / 2nd / 64th pick / 2020,610000.0
Dennis Daley,O,O,D,Q,,,,,,,,O,,65.0,24.0,OL,5.0,3.0,325.0,2020-06-06,South Carolina,1996-08-07,1,,Carolina Panthers / 6th / 212th pick / 2019,675000.0
Rasul Douglas,,,,,,,C19,C19,C19,,Q,,,24.0,26.0,CB,11.0,9.0,209.0,2020-06-02,West Virginia,1994-08-29,3,,Philadelphia Eagles / 3rd / 99th pick / 2017,825000.0
Sam Franklin,,,,,,,,,,,Q,Q,,42.0,24.0,OLB,11.0,4.0,210.0,2020-06-03,Temple,1996-02-02,Rook,,,610000.0
Yetur Gross-Matos,,O,,,,IR,IR,IR,IR,Q,Q,C19,C19,97.0,22.0,DL,9.0,4.0,266.0,2020-06-05,Penn St.,1998-02-26,Rook,,Carolina Panthers / 2nd / 38th pick / 2020,572941.0
Marquis Haynes,,,,,,,,Q,Q,Q,Q,Q,,98.0,27.0,OLB,12.0,0.0,235.0,2020-06-02,Mississippi,1993-12-16,2,,Carolina Panthers / 4th / 136th pick / 2018,750000.0
Donte Jackson,,,,,,Q,Q,,,Q,D,D,,26.0,25.0,CB,11.0,10.0,180.0,2020-05-10,LSU,1995-11-08,2,,Carolina Panthers / 2nd / 55th pick / 2018,917502.0
Zach Kerr,,,,,,Q,,Q,Q,,,,C19,,,,,,,,,,,,,
Keith Kirkwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Luke Kuechly,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Austin Larkin,,,,,,,,,,Q,,,,96.0,25.0,DE,8.0,0.0,265.0,2020-06-03,Purdue,1995-04-06,1,,,476472.0
Tyler Larsen,,,,,,C19,C19,C19,C19,,,,,69.0,29.0,C,10.0,0.0,325.0,2020-06-04,Utah St.,1991-07-08,4,,,1300000.0
Greg Little,,,,,,,,,,,,,C19,74.0,23.0,OL,10.0,3.0,310.0,2020-06-05,Mississippi,1997-11-04,1,,Carolina Panthers / 2nd / 37th pick / 2019,842224.0
Jordan Mack,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Manhertz,,,,,,,,,,,Q,,,82.0,28.0,TE,13.0,9.0,255.0,2020-06-06,Canisius,1992-04-10,6,,,910000.0
Christian McCaffrey,,,IR,IR,IR,IR,IR,IR,IR,O,O,Q,,22.0,24.0,RB,3.0,3.0,205.0,2020-05-11,Stanford,1996-06-07,3,,Carolina Panthers / 1st / 8th pick / 2017,825000.0
Christian Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
John Miller,,,,,,,Q,Q,,,D,Q,,67.0,27.0,OG,11.0,11.0,315.0,2020-06-03,Louisville,1993-08-12,5,,Buffalo Bills / 3rd / 81st pick / 2015,1790000.0
D.J. Moore,,,,,,,,,,,,,C19,,,,,,,,,,,,,
Efe Obada,,,,,,,,Q,,,,,,94.0,28.0,LB,13.0,1.0,265.0,2020-06-06,none,1992-04-13,2,,,750000.0
Russell Okung,,,Q,Q,,,,D,D,O,D,Q,,76.0,32.0,T,7.0,7.0,310.0,2020-06-05,Oklahoma St.,1988-10-07,10,,Seattle Seahawks / 1st / 6th pick / 2010,13000000.0
Michael Palardy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,,,,,,,,,,,,,
Curtis Samuel,,,,,,Q,Q,,,,,,C19,10.0,24.0,WR,12.0,5.0,195.0,2020-05-11,Ohio St.,1996-08-11,3,,Carolina Panthers / 2nd / 40th pick / 2017,1220044.0
Michael Schofield,,,,,,,C19,C19,C19,,,,,75.0,30.0,OT,8.0,2.0,301.0,2020-06-06,Michigan,1990-11-15,6,,Denver Broncos / 3rd / 95th pick / 2014,1000000.0
Trenton Scott,,,,,,,C19,,,,,,,73.0,26.0,T,12.0,2.0,320.0,2020-06-05,Grambling St.,1994-01-25,2,,,750000.0
Kawann Short,,O,D,,,,IR,,,,,,,,,,,,,,,,,,,
Joey Slye,,,,,,,C19,,,,,,,4.0,24.0,K,13.0,0.0,213.0,2020-05-11,Virginia Tech,1996-04-10,1,,,675000.0
Adarius Taylor,,,,,,,,,,IR,IR,IR,IR,57.0,30.0,MLB,10.0,0.0,230.0,2000-06-01,Florida Atlantic,1990-09-21,6,,,910000.0
Stantley Thomas-Oliver,Q,,,,,,,,,,,,,23.0,22.0,CB,7.0,0.0,192.0,2000-06-01,Florida International,1998-06-04,Rook,,Carolina Panthers / 7th / 221st pick / 2020,610000.0
Shaq Thompson,,,,,,,,,,,,,C19,54.0,26.0,OLB,13.0,12.0,230.0,2000-06-01,Washington,1994-04-21,5,,Carolina Panthers / 1st / 25th pick / 2015,4000000.0
Stephen Weatherly,Q,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Tahir Whitehead,,,,Q,,,,,,,Q,Q,,52.0,30.0,OLB,12.0,9.0,241.0,2020-06-02,Temple,1990-04-02,8,,Detroit Lions / 5th / 138th pick / 2012,1050000.0
Brandon Zylstra,,,,,,,,,,,,Q,,16.0,27.0,WR,13.0,1.0,215.0,2020-06-02,Concordia-Moorhead (MN),1993-03-25,2,,,750000.0
