Player ,09/09vs. SFO,09/16vs. GNB,09/23vs. BUF,09/27vs. LAR,10/07vs. PHI,10/14vs. ARI,10/21vs. NYJ,10/28vs. NOR,11/04vs. DET,11/18vs. CHI,11/25vs. GNB,12/02vs. NWE,12/10vs. SEA,12/16vs. MIA,12/23vs. DET,12/30vs. CHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mackensie Alexander,D,,,,,,,,,,,Q,,,,,20.0,25.0,db,15.0,6.0,192.0,2020-05-10,Clemson,1993-11-12,2,3.0,Minnesota Vikings / 2nd / 54th pick / 2016,842391.0
Ade Aruna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Anthony Barr,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,,
Chad Beebe,,,,,,,,,,,O,O,O,O,,O,,,,,,,,,,,,,
Mike Boone,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Tashawn Bower,,,,,O,O,,,,,,,,,,,,,,,,,,,,,,,
Mack Brown,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Aviante Collins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tom Compton,,,,,,,,O,O,Q,,,,,,Q,79.0,29.0,LG,14.0,14.0,315.0,2020-06-06,South Dakota,1989-05-10,6,6.0,Washington Redskins / 6th / 193rd pick / 2012,800000.0
Dalvin Cook,,,O,Q,Q,Q,O,O,Q,,,,,,,,33.0,23.0,RB,11.0,10.0,210.0,2020-05-10,Florida St.,1995-08-10,1,6.0,Minnesota Vikings / 2nd / 41st pick / 2017,753788.0
Stefon Diggs,,,,,,,,,Q,,,Q,,,,,14.0,25.0,WR,15.0,14.0,191.0,2000-06-01,Maryland,1993-11-29,3,8.0,Minnesota Vikings / 5th / 146th pick / 2015,1907000.0
Nick Easton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Pat Elflein,O,O,,,,,,,,,,,,,,,65.0,24.0,C,14.0,13.0,303.0,2020-06-03,Ohio St.,1994-07-06,1,6.0,Minnesota Vikings / 3rd / 70th pick / 2017,637000.0
Ben Gedeon,,,,,,,,,,,O,,,,,,42.0,24.0,LLB,15.0,8.0,244.0,2020-06-02,Michigan,1994-10-16,1,5.0,Minnesota Vikings / 4th / 120th pick / 2017,555000.0
Everson Griffen,,,O,O,O,O,O,,,,,,,,,,97.0,31.0,RDE,11.0,10.0,273.0,2020-06-03,USC,1987-12-22,8,6.0,Minnesota Vikings / 4th / 100th pick / 2010,3900000.0
C.J. Ham,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Anthony Harris,,,,Q,,,,,,,,,,,,,41.0,27.0,SS,15.0,9.0,202.0,2020-06-01,Virginia,1991-10-09,3,4.0,,705000.0
Mike Hughes,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Craig James,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,,,,,,,,,,,,
Tom Johnson,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Linval Joseph,,,,,,,Q,Q,,,,,,,,,98.0,30.0,RDT,15.0,15.0,329.0,2020-06-04,East Carolina,1988-10-10,8,9.0,New York Giants / 2nd / 46th pick / 2010,1150000.0
Eric Kendricks,,,,,,,,,,,,,Q,,O,O,54.0,26.0,MLB,14.0,14.0,232.0,2000-06-01,UCLA,1992-02-29,3,8.0,Minnesota Vikings / 2nd / 45th pick / 2015,1138080.0
Hercules Mata'afa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
David Morgan,,,O,,,,,,,O,O,O,O,Q,,,89.0,25.0,te,11.0,6.0,265.0,2020-06-04,Texas-San Antonio,1993-05-19,2,0.0,Minnesota Vikings / 6th / 188th pick / 2016,630000.0
Jabari Price,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Riley Reiff,,,,Q,,O,O,D,Q,,,,,,,,71.0,30.0,LT,13.0,13.0,305.0,2020-06-06,Iowa,1988-12-01,6,7.0,Detroit Lions / 1st / 23rd pick / 2012,9100000.0
Mike Remmers,,,,,,,,,,Q,,,,Q,,,74.0,29.0,RG,16.0,16.0,310.0,2020-06-05,Oregon St.,1989-04-11,6,7.0,,3900000.0
Xavier Rhodes,Q,,,,,,,Q,Q,,,Q,,,,Q,29.0,28.0,RCB,14.0,14.0,218.0,2020-06-01,Florida St.,1990-06-19,5,5.0,Minnesota Vikings / 1st / 25th pick / 2013,10400000.0
Horace Richardson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sheldon Richardson,,,,,,,,,,,,,,Q,,,93.0,28.0,LDT,16.0,16.0,294.0,2020-06-03,Missouri,1990-11-29,5,8.0,New York Jets / 1st / 13th pick / 2013,5800000.0
Andrew Sendejo,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,34.0,31.0,ss,5.0,5.0,210.0,2020-06-01,Rice,1987-09-09,8,2.0,,3450000.0
Marcus Sherels,,,O,O,O,,,,,,,,,,,O,,,,,,,,,,,,,
Johnny Stanton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Roc Thomas,O,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Trae Waynes,,,,,O,,,,,,,,O,,,,26.0,26.0,LCB,14.0,14.0,190.0,2000-06-01,Michigan St.,1992-07-25,3,5.0,Minnesota Vikings / 1st / 11th pick / 2015,2200142.0
Brandon Zylstra,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
