Player ,09/09vs. WAS,09/16vs. LAR,09/23vs. CHI,09/30vs. SEA,10/07vs. SFO,10/14vs. MIN,10/18vs. DEN,10/28vs. SFO,11/11vs. KAN,11/18vs. OAK,11/25vs. LAC,12/02vs. GNB,12/09vs. DET,12/16vs. ATL,12/23vs. LAR,12/30vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Bryson Albright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Thurston Armbrister,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Budda Baker,,,,,,,,,Q,O,Q,Q,Q,Q,,,36.0,22.0,SS,14.0,13.0,195.0,2020-05-10,Washington,1996-01-10,1,5.0,Arizona Cardinals / 2nd / 36th pick / 2017,775455.0
Bene Benwikere,,,,,Q,,,,,,,,,,,,23.0,27.0,RCB,11.0,8.0,195.0,2000-06-01,San Jose St.,1991-09-03,4,3.0,Carolina Panthers / 5th / 148th pick / 2014,790000.0
Tre Boston,,,,,,,O,O,Q,,,,,,,,33.0,26.0,DB,14.0,13.0,205.0,2020-06-01,North Carolina,1992-06-25,4,5.0,Carolina Panthers / 4th / 128th pick / 2014,1000000.0
Deone Bucannon,,,,,,,,,,,O,O,O,Q,,,20.0,26.0,DB,13.0,6.0,211.0,2020-06-01,Washington St.,1992-08-30,4,4.0,Arizona Cardinals / 1st / 27th pick / 2014,8718000.0
Josh Bynes,,,,,,,,,,,,IR,IR,IR,IR,IR,57.0,29.0,MLB,11.0,11.0,235.0,2020-06-01,Auburn,1989-08-24,7,6.0,,790000.0
Christian Campbell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jeremy Cash,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Korey Cunningham,,,,,,,,,,,,,,,,IR,79.0,23.0,lt,6.0,6.0,305.0,2020-06-06,Cincinnati,1995-05-17,Rook,2.0,Arizona Cardinals / 7th / 254th pick / 2018,480000.0
Phil Dawson,,,,,,,,Q,,Q,Q,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chase Edmonds,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Larry Fitzgerald,,,Q,Q,Q,,,,,,,,,,,,11.0,35.0,WR,16.0,16.0,218.0,2020-06-03,Pittsburgh,1983-08-31,14,5.0,Arizona Cardinals / 1st / 3rd pick / 2004,11000000.0
D.J. Foster,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dennis Gardeck,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Markus Golden,O,Q,Q,,Q,Q,,,,,,,,,Q,Q,44.0,27.0,LDE,11.0,11.0,260.0,2020-06-03,Missouri,1991-03-13,3,5.0,Arizona Cardinals / 2nd / 58th pick / 2015,969318.0
Jermaine Gresham,Q,Q,Q,,,,,Q,Q,,,,,,,IR,84.0,30.0,TE,13.0,11.0,260.0,2020-06-05,Oklahoma,1988-06-16,8,1.0,Cincinnati Bengals / 1st / 21st pick / 2010,5250000.0
Rodney Gunter,,,,,,,,,,Q,,,,,Q,,95.0,26.0,RDT,16.0,10.0,305.0,2020-06-05,Delaware St.,1992-01-19,3,6.0,Arizona Cardinals / 4th / 116th pick / 2015,705000.0
Will Holden,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
D.J. Humphries,,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,74.0,25.0,LT,9.0,9.0,307.0,2020-06-05,Florida,1993-12-28,2,3.0,Arizona Cardinals / 1st / 24th pick / 2015,1450288.0
Mike Iupati,,,,,,Q,O,Q,Q,Q,Q,,IR,IR,IR,IR,76.0,31.0,LG,10.0,10.0,331.0,2020-06-05,Idaho,1987-05-12,8,3.0,San Francisco 49ers / 1st / 17th pick / 2010,5000000.0
Christian Kirk,,,,,,,,,,,,,IR,IR,IR,IR,13.0,22.0,WR,12.0,7.0,200.0,2020-05-11,Texas A&M,1996-11-18,Rook,4.0,Arizona Cardinals / 2nd / 47th pick / 2018,480000.0
T.J. Logan,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Praise Martin-Oguike,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Benson Mayowa,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
