Player ,09/11vs. IND,09/18vs. TEN,09/25vs. GNB,10/02vs. CHI,10/09vs. PHI,10/16vs. LAR,10/23vs. WAS,10/30vs. HOU,11/06vs. MIN,11/20vs. JAX,11/24vs. MIN,12/04vs. NOR,12/11vs. CHI,12/18vs. NYG,12/26vs. DAL,01/01vs. GNB,01/07vs. SEA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Ameer Abdullah,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Adairius Barnes,,Q,Q,Q,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Anquan Boldin,,,,,,Q,,,,,,,,,,,,80.0,36.0,WR,16.0,16.0,220.0,2020-06-01,Florida St.,1980-10-03,13,5.0,Arizona Cardinals / 2nd / 54th pick / 2003,1550000.0
Jonathan Bostic,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Armonty Bryant,,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Bynes,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,57.0,27.0,LLB,9.0,8.0,235.0,2020-06-01,Auburn,1989-08-24,5,3.0,,900000.0
Don Carey,,,,,Q,Q,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,
Stefan Charles,,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Taylor Decker,,,,,,,,,Q,,,,,,,,,68.0,23.0,LT,16.0,16.0,318.0,2020-06-07,Ohio St.,1993-08-23,Rook,10.0,Detroit Lions / 1st / 16th pick / 2016,450000.0
Quandre Diggs,,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Ebron,Q,,Q,Q,O,O,O,Q,,,,,Q,Q,,,,85.0,23.0,TE,13.0,13.0,253.0,2020-06-04,North Carolina,1993-04-10,2,6.0,Detroit Lions / 1st / 10th pick / 2014,1233558.0
Corey Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Wallace Gilberry,,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,
Graham Glasgow,Q,,,,,,,,,,Q,,,,,,,60.0,24.0,LG,15.0,11.0,310.0,2020-06-06,Michigan,1992-07-19,Rook,6.0,Detroit Lions / 3rd / 95th pick / 2016,450000.0
Asa Jackson,,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Marvin Jones,,,,Q,Q,,,,,,,Q,Q,,,,,11.0,26.0,WR,15.0,15.0,199.0,2020-06-02,California,1990-03-12,4,8.0,Cincinnati Bengals / 5th / 166th pick / 2012,3000000.0
Jimmy Landes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nevin Lawson,,,,,,,,Q,,,,,,,,,,24.0,25.0,RCB,16.0,16.0,190.0,2020-05-09,Utah St.,1991-04-23,2,5.0,Detroit Lions / 4th / 133rd pick / 2014,600000.0
DeAndre Levy,,D,D,O,O,O,O,O,O,D,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,
Haloti Ngata,,,,,,O,O,Q,Q,,,,,,,,,92.0,32.0,RDT,13.0,13.0,340.0,2020-06-04,Oregon,1984-01-21,10,5.0,Baltimore Ravens / 1st / 12th pick / 2006,2000000.0
Brandon Pettigrew,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Theo Riddick,,,,,,O,O,,Q,Q,Q,Q,IR,IR,IR,O,IR,25.0,25.0,RB,10.0,8.0,201.0,2020-05-09,Notre Dame,1991-05-04,3,6.0,Detroit Lions / 6th / 199th pick / 2013,800000.0
A'Shawn Robinson,,,,,,Q,,,,,,,,,,,,91.0,21.0,ldt,16.0,5.0,330.0,2020-06-04,Alabama,1995-03-21,Rook,3.0,Detroit Lions / 2nd / 46th pick / 2016,450000.0
Corey Robinson,Q,,,,,,O,Q,,,,,,,,,IR,,,,,,,,,,,,,
Darius Slay,,,,,,,,O,Q,,,,,Q,D,Q,,23.0,25.0,LCB,13.0,13.0,190.0,2000-06-01,Mississippi St.,1991-01-01,3,5.0,Detroit Lions / 2nd / 36th pick / 2013,1000000.0
Ryan Spadola,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Travis Swanson,,,,,,,,,,,,,O,O,O,D,Q,64.0,25.0,C,12.0,12.0,304.0,2020-06-05,Arkansas,1991-01-30,2,6.0,Detroit Lions / 3rd / 76th pick / 2014,615000.0
Golden Tate,Q,,,,,,,,,,,,,,,,,15.0,28.0,WR,16.0,16.0,197.0,2020-05-10,Notre Dame,1988-08-02,6,9.0,Seattle Seahawks / 2nd / 60th pick / 2010,4750000.0
Devin Taylor,,,Q,Q,,,,,,,,,,,,,,98.0,27.0,LDE,16.0,16.0,266.0,2020-06-07,South Carolina,1989-11-15,3,7.0,Detroit Lions / 4th / 132nd pick / 2013,675000.0
Khyri Thornton,,,,,,,,,,,Q,,,,,,,99.0,27.0,rdt,13.0,6.0,304.0,2020-06-03,Southern Miss,1989-11-21,2,3.0,Green Bay Packers / 3rd / 85th pick / 2014,525000.0
Laken Tomlinson,,,,,,Q,,,,,,,,,,,,72.0,24.0,LG,16.0,10.0,312.0,2020-06-03,Duke,1992-02-09,1,5.0,Detroit Lions / 1st / 28th pick / 2015,823648.0
Dwayne Washington,,,,,D,Q,Q,,,,,,Q,,,,,,,,,,,,,,,,,
Ian Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tahir Whitehead,,,,,,,Q,,,,,Q,Q,,,,,59.0,26.0,MLB,15.0,15.0,241.0,2020-06-02,Temple,1990-04-02,4,7.0,Detroit Lions / 5th / 138th pick / 2012,1750000.0
Cole Wick,,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Antwione Williams,,,D,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavon Wilson,,,,Q,Q,,,,,,,,,,,,,32.0,26.0,SS,15.0,14.0,208.0,2000-06-01,Illinois,1990-03-19,4,5.0,New England Patriots / 2nd / 48th pick / 2012,800000.0
Tim Wright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Zach Zenner,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
