Player ,09/11vs. PHI,09/18vs. BAL,09/25vs. MIA,10/02vs. WAS,10/09vs. NWE,10/16vs. TEN,10/23vs. CIN,10/30vs. NYJ,11/06vs. DAL,11/10vs. BAL,11/20vs. PIT,11/27vs. NYG,12/11vs. CIN,12/18vs. BUF,12/24vs. SDG,01/01vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dominique Alexander,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,
Gary Barnidge,,,,,,Q,,,,,,,,,,,82.0,31.0,TE,16.0,16.0,250.0,2020-06-06,Louisville,1985-09-22,8,4.0,Carolina Panthers / 5th / 141st pick / 2008,2562500.0
Joel Bitonio,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,75.0,25.0,lg,5.0,5.0,320.0,2020-06-04,Nevada,1991-10-11,2,2.0,Cleveland Browns / 2nd / 35th pick / 2014,1489554.0
Marcus Burley,O,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,
Trey Caldwell,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Ibraheim Campbell,,,O,Q,Q,,,,,,,,,,,,24.0,24.0,SS,14.0,8.0,210.0,2020-05-11,Northwestern,1992-05-13,1,3.0,Cleveland Browns / 4th / 115th pick / 2015,653002.0
Tank Carder,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Corey Coleman,,,O,O,O,O,O,O,,,,,,,,,19.0,22.0,WR,10.0,10.0,185.0,2020-05-11,Baylor,1994-07-06,Rook,3.0,Cleveland Browns / 1st / 15th pick / 2016,2119090.0
Jamie Collins,,,,,,Q,Q,,,,,,,,,,51.0,27.0,ROLB,8.0,8.0,255.0,2020-06-03,Southern Miss,1989-10-20,3,4.0,New England Patriots / 2nd / 52nd pick / 2013,917864.0
Xavier Cooper,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Seth Devalve,,,,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
