Player ,09/10vs. NYJ,09/16vs. SFO,09/23vs. NWE,09/30vs. DAL,10/07vs. GNB,10/21vs. MIA,10/28vs. SEA,11/04vs. MIN,11/11vs. CHI,11/18vs. CAR,11/22vs. CHI,12/02vs. LAR,12/09vs. ARI,12/16vs. BUF,12/23vs. MIN,12/30vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jamal Agnew,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,,,,,,,,,,,,,
Ezekiel Ansah,,Q,Q,O,O,Q,Q,Q,Q,Q,Q,,,IR,IR,IR,,,,,,,,,,,,,
Brandon Barnes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trevor Bates,,,,,,,,,,,,Q,O,Q,,,,,,,,,,,,,,,
Nick Bawden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nick Bellore,,,,,,,,,,,,O,Q,Q,,,43.0,29.0,FB,14.0,4.0,250.0,2020-06-01,Central Michigan,1989-05-12,7,0.0,,915000.0
LeGarrette Blount,,Q,,,,,,,,,,,,,Q,Q,29.0,32.0,RB,16.0,8.0,247.0,2000-06-01,"East Mississippi CC,Oregon",1986-12-05,8,3.0,,1000000.0
Marcus Cooper,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Marcus Cromartie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jarrad Davis,,,,Q,,,Q,,,,,,,,,,40.0,24.0,MLB,16.0,16.0,245.0,2020-06-01,Florida,1994-11-16,1,9.0,Detroit Lions / 1st / 21st pick / 2017,963599.0
Taylor Decker,,,,,,,,,,,,,,Q,,,68.0,25.0,LT,16.0,16.0,318.0,2020-06-07,Ohio St.,1993-08-23,2,8.0,Detroit Lions / 1st / 16th pick / 2016,1446998.0
Quandre Diggs,,,,,Q,,,,,,,,,,,Q,28.0,25.0,SS,16.0,16.0,197.0,2020-05-09,Texas,1993-01-22,3,6.0,Detroit Lions / 6th / 200th pick / 2015,1000000.0
Andrew Donnal,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Ellington,,,,,,,,,,,Q,Q,Q,IR,O,IR,,,,,,,,,,,,,
Kenny Golladay,,,,,,,,,,,,,,,Q,Q,19.0,25.0,WR,15.0,13.0,214.0,2020-06-04,Northern Illinois,1993-11-03,1,8.0,Detroit Lions / 3rd / 96th pick / 2017,586000.0
Da'Shawn Hand,,,,,Q,,,,,,,,,IR,IR,IR,93.0,23.0,RDE,13.0,8.0,297.0,2020-06-03,Alabama,1995-11-14,Rook,5.0,Detroit Lions / 4th / 114th pick / 2018,480000.0
Eli Harold,,,Q,,Q,,,,D,,,,,,,,,,,,,,,,,,,,
Damon Harrison,,,,,,,,,,Q,Q,,,,Q,Q,98.0,30.0,RDT,10.0,9.0,350.0,2020-06-03,William Penn,1988-11-29,6,6.0,,7750000.0
Kerry Hyder,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Kerryon Johnson,,,,,,,,,Q,,IR,IR,IR,IR,IR,IR,33.0,21.0,rb,10.0,7.0,211.0,2020-05-11,Auburn,1997-06-30,Rook,5.0,Detroit Lions / 2nd / 43rd pick / 2018,480000.0
Andy Jones,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,,,,,,,,
Marvin Jones,,,Q,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,11.0,28.0,WR,9.0,9.0,199.0,2020-06-02,California,1990-03-12,6,4.0,Cincinnati Bengals / 5th / 166th pick / 2012,7000000.0
