Player ,09/11vs. NOR,09/17vs. PIT,09/24vs. TAM,10/01vs. DET,10/09vs. CHI,10/15vs. GNB,10/22vs. BAL,10/29vs. CLE,11/12vs. WAS,11/19vs. LAR,11/23vs. DET,12/03vs. ATL,12/10vs. CAR,12/17vs. CIN,12/23vs. GNB,12/31vs. CHI,01/14vs. NOR,01/21vs. PHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mackensie Alexander,,,,,,,Q,Q,,,,,,O,Q,,,Q,,,,,,,,,,,,,
Anthony Barr,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Bell,,,,,,,,,,,,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Sam Bradford,,Q,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Teddy Bridgewater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,,,,,,,,,,,,,
Tramaine Brock,Q,,,,,,Q,,,,,,,,O,O,,,,,,,,,,,,,,,
Dalvin Cook,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,33.0,22.0,rb,4.0,4.0,210.0,2020-05-10,Florida St.,1995-08-10,Rook,4.0,Minnesota Vikings / 2nd / 41st pick / 2017,465000.0
Stefon Diggs,,,,,,O,O,Q,,,,,,,,,,,14.0,24.0,WR,14.0,14.0,191.0,2000-06-01,Maryland,1993-11-29,2,9.0,Minnesota Vikings / 5th / 146th pick / 2015,615000.0
Nick Easton,,,,,,O,O,Q,,,,,,,,IR,IR,IR,62.0,25.0,LG,12.0,12.0,303.0,2020-06-03,Harvard,1992-06-16,1,7.0,,615000.0
Pat Elflein,,,,,,,,,,,,,Q,,,O,,,65.0,23.0,C,14.0,14.0,303.0,2020-06-03,Ohio St.,1994-07-06,Rook,8.0,Minnesota Vikings / 3rd / 70th pick / 2017,465000.0
Michael Floyd,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
Sharrif Floyd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Everson Griffen,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,
Anthony Harris,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Rashod Hill,,,,Q,O,,,,,,,,,,,,,,69.0,25.0,rt,11.0,7.0,313.0,2020-06-06,Southern Miss,1992-01-12,1,5.0,,540000.0
Datone Jones,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,,IR,,IR,IR,,,,,,,,,,,,,
Jayron Kearse,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Kendricks,,,,,,,,,,,,Q,,,,,,,54.0,25.0,MLB,16.0,16.0,232.0,2000-06-01,UCLA,1992-02-29,2,9.0,Minnesota Vikings / 2nd / 45th pick / 2015,903720.0
Emmanuel Lamur,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Kevin McDermott,,,,,,,,,,,,,,,,O,IR,IR,,,,,,,,,,,,,
David Morgan,,,,,,,,,,,,,O,,,,,,89.0,24.0,te,15.0,6.0,265.0,2020-06-04,Texas-San Antonio,1993-05-19,1,1.0,Minnesota Vikings / 6th / 188th pick / 2016,540000.0
Terence Newman,,,,,,,,,,,,,,,,,Q,,23.0,39.0,DB,16.0,7.0,197.0,2020-05-10,Kansas St.,1978-09-04,14,3.0,Dallas Cowboys / 1st / 5th pick / 2003,2400000.0
Riley Reiff,,,,,,,Q,Q,,,,,,D,Q,,,,71.0,29.0,LT,15.0,15.0,305.0,2020-06-06,Iowa,1988-12-01,5,10.0,Detroit Lions / 1st / 23rd pick / 2012,6200000.0
Mike Remmers,,,,,,,,,O,O,Q,O,O,,,,,,74.0,28.0,RT,11.0,11.0,310.0,2020-06-05,Oregon St.,1989-04-11,5,6.0,,1400000.0
Xavier Rhodes,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robison,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,
Kyle Rudolph,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
Bishop Sankey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andrew Sendejo,,,,,,Q,,,,O,Q,,,,Q,,,Q,34.0,30.0,SS,13.0,13.0,210.0,2020-06-01,Rice,1987-09-09,7,4.0,,2950000.0
Jeremiah Sirles,,,,,,,,O,O,,,,,,,,,,,,,,,,,,,,,,
Shamar Stephen,,,,,,,,,,,,,,,,O,,O,,,,,,,,,,,,,
Adam Thielen,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Stephen Weatherly,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,
