Player ,09/08vs. JAX,09/15vs. OAK,09/22vs. BAL,09/29vs. DET,10/06vs. IND,10/13vs. HOU,10/17vs. DEN,10/27vs. GNB,11/03vs. MIN,11/10vs. TEN,11/18vs. LAC,12/01vs. OAK,12/08vs. NWE,12/15vs. DEN,12/22vs. CHI,12/29vs. LAC,01/12vs. HOU,01/19vs. TEN,02/02vs. SFO,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Blake Bell,,,,,,,,,,,O,,,,,,,,,81.0,28.0,te,15.0,7.0,252.0,2020-06-06,Oklahoma,1991-08-07,4,1.0,San Francisco 49ers / 4th / 117th pick / 2015,805000.0
Bashaud Breeland,,,,,,,Q,,,,,,,,,,,,,21.0,27.0,LCB,16.0,15.0,195.0,2020-05-11,Clemson,1992-01-30,5,6.0,Washington Redskins / 4th / 102nd pick / 2014,805000.0
Morris Claiborne,,,,,,,,,,,,,O,O,O,O,O,,,,,,,,,,,,,,,
Frank Clark,,,,,,,,O,Q,Q,,,Q,Q,,,,,,,,,,,,,,,,,,
Felton Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gehrig Dieter,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Duvernay-Tardif,,,,,,,,,O,Q,,,,,,,,,,76.0,28.0,RG,14.0,14.0,321.0,2020-06-05,McGill,1991-02-11,5,7.0,Kansas City Chiefs / 6th / 200th pick / 2014,6203000.0
Cameron Erving,,,,,,,,,,,,,,,,Q,,,,75.0,27.0,LT,13.0,8.0,313.0,2020-06-05,Florida St.,1992-08-23,4,5.0,Cleveland Browns / 1st / 19th pick / 2015,1450000.0
Rashad Fenton,,,,,,,,,,,,,O,O,,,,,,,,,,,,,,,,,,
Eric Fisher,,Q,O,O,O,O,O,O,O,O,,,,,,,,,,72.0,28.0,LT,8.0,8.0,315.0,2020-06-07,Central Michigan,1991-01-05,6,5.0,Kansas City Chiefs / 1st / 1st pick / 2013,10350000.0
Kendall Fuller,,,,,,,O,O,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,
Davon Grayson,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chad Henne,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,
