Player ,09/10vs. NYG,09/17vs. DEN,09/25vs. ARI,10/01vs. LAR,10/08vs. GNB,10/22vs. SFO,10/29vs. WAS,11/05vs. KAN,11/12vs. ATL,11/19vs. PHI,11/23vs. LAC,11/30vs. WAS,12/10vs. NYG,12/17vs. OAK,12/24vs. SEA,12/31vs. PHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Richard Ash,IR,IR,IR,IR,IR,,,,,,,,,,Q,Q,,,,,,,,,,,,,
Chidobe Awuzie,,,O,Q,,O,O,O,Q,,,,,,,,33.0,22.0,db,10.0,6.0,202.0,2000-06-01,Colorado,1995-05-24,Rook,3.0,Dallas Cowboys / 2nd / 60th pick / 2017,465000.0
Dan Bailey,,,,,,,O,O,O,O,Q,,,,,,,,,,,,,,,,,,
Cole Beasley,,,,,,,,Q,,,,,,,,Q,,,,,,,,,,,,,
Anthony Brown,,,,,Q,,,,,,,,,,,,30.0,24.0,LCB,16.0,10.0,196.0,2020-05-11,Purdue,1993-12-15,1,4.0,Dallas Cowboys / 6th / 189th pick / 2016,540000.0
Noah Brown,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Dez Bryant,,,,,,,,,Q,,,,,,,,88.0,29.0,WR,16.0,16.0,220.0,2020-06-02,Oklahoma St.,1988-11-04,7,8.0,Dallas Cowboys / 1st / 24th pick / 2010,13000000.0
Brice Butler,,,Q,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,
Nolan Carroll,,,O,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
La'el Collins,,,,,Q,,,,,,Q,Q,Q,Q,Q,Q,71.0,24.0,RT,16.0,16.0,320.0,2020-06-04,LSU,1993-07-26,2,9.0,,1000000.0
Maliek Collins,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,96.0,22.0,LDT,16.0,16.0,308.0,2020-06-02,Nebraska,1995-04-08,1,7.0,Dallas Cowboys / 3rd / 67th pick / 2016,612500.0
Justin Durant,,,,,,Q,Q,IR,IR,,,O,Q,O,IR,IR,,,,,,,,,,,,,
Zac Dysert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kavon Frazier,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Gathers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chaz Green,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Hamlett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Hanna,,,,,,,,,,,,,,Q,,,84.0,28.0,TE,16.0,8.0,252.0,2020-06-04,Oklahoma,1989-07-14,5,1.0,Dallas Cowboys / 6th / 186th pick / 2012,2250000.0
Jeff Heath,,,,,,,,,,Q,,,,,,,38.0,26.0,SS,15.0,15.0,212.0,2020-06-01,Saginaw Valley St.,1991-05-14,4,6.0,,1471000.0
Anthony Hitchens,O,O,O,Q,,,,,,,Q,Q,,,,,59.0,25.0,MLB,12.0,12.0,235.0,2000-06-01,Iowa,1992-06-10,3,6.0,Dallas Cowboys / 4th / 119th pick / 2014,1797000.0
David Irving,,,,,,,,,,,,,Q,O,O,O,,,,,,,,,,,,,
Byron Jones,,Q,,,,,,,,,,,,,,,31.0,25.0,FS,16.0,16.0,205.0,2000-06-01,Connecticut,1992-09-26,2,6.0,Dallas Cowboys / 1st / 27th pick / 2015,1216995.0
Sean Lee,,,,Q,Q,,,,,O,O,O,,Q,,,50.0,31.0,RLB,11.0,11.0,245.0,2020-06-02,Penn St.,1986-07-22,7,6.0,Dallas Cowboys / 2nd / 55th pick / 2010,1300000.0
John Lotulelei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Zack Martin,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Benson Mayowa,,,,,,,,,,,,,,,Q,O,,,,,,,,,,,,,
Stephen Paea,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Brian Price,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Orlando Scandrick,,O,,,,,,,,,,,IR,IR,IR,IR,32.0,30.0,RCB,11.0,11.0,196.0,2020-05-10,Boise St.,1987-02-10,9,4.0,Dallas Cowboys / 5th / 143rd pick / 2008,3000000.0
Rod Smith,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Tyron Smith,,,,,Q,,,,Q,Q,Q,Q,Q,Q,Q,IR,,,,,,,,,,,,,
Geoff Swaim,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
Ryan Switzer,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Charles Tapper,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Duke Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kyle Wilber,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Terrance Williams,,Q,Q,,,,,,,,,,,,,,83.0,28.0,WR,16.0,14.0,210.0,2020-06-02,Baylor,1989-09-08,4,6.0,Dallas Cowboys / 3rd / 74th pick / 2013,1000000.0
