Player ,09/09vs. DEN,09/15vs. KAN,09/22vs. MIN,09/29vs. IND,10/06vs. CHI,10/20vs. GNB,10/27vs. HOU,11/03vs. DET,11/07vs. LAC,11/17vs. CIN,11/24vs. NYJ,12/01vs. KAN,12/08vs. TEN,12/15vs. JAX,12/22vs. LAC,12/29vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Johnathan Abram,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marcell Ateman,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Trent Brown,,,Q,Q,,D,Q,,Q,Q,,Q,O,Q,IR,IR,,,,,,,,,,,,,
Vontaze Burfict,,,Q,,,,,,,,,,,,,,55.0,29.0,MLB,4.0,4.0,255.0,2020-06-01,Arizona St.,1990-09-24,7,2.0,,1150000.0
Paul Butler,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Cole III,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gareon Conley,,Q,,,,,,,,,,,,,,,21.0,24.0,rcb,6.0,6.0,190.0,2000-06-01,Ohio St.,1995-06-29,2,2.0,Oakland Raiders / 1st / 24th pick / 2017,1416584.0
Isaiah Crowell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Devey,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Makinton Dorleant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Justin Ellis,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,
Clelin Ferrell,,,,,Q,,,,,,,,,,,,96.0,22.0,LDE,15.0,15.0,265.0,2020-06-04,Clemson,1997-05-17,Rook,7.0,Oakland Raiders / 1st / 4th pick / 2019,495000.0
Denzelle Good,,,Q,,,,,,,,,,,,,,71.0,28.0,rg,16.0,5.0,340.0,2020-06-05,Mars Hill,1991-03-08,4,3.0,Indianapolis Colts / 7th / 255th pick / 2015,1000000.0
P.J. Hall,,,Q,,,,,Q,,,,,,,,,92.0,24.0,LDT,16.0,12.0,305.0,2000-06-01,Sam Houston St.,1995-04-05,1,5.0,Oakland Raiders / 2nd / 57th pick / 2018,693830.0
Dwayne Harris,,,O,O,Q,Q,,Q,Q,Q,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Erik Harris,,,,,,,,Q,,,,,,Q,,,25.0,29.0,FS,16.0,14.0,220.0,2020-06-02,California (PA),1990-04-02,3,5.0,,1275000.0
Rodney Hudson,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,
Cameron Hunt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Richie Incognito,,,,,Q,,,,,,,,,,O,D,64.0,36.0,LG,12.0,12.0,325.0,2020-06-03,"Nebraska,Oregon",1983-07-05,13,5.0,St. Louis Rams / 3rd / 81st pick / 2005,1030000.0
Gabe Jackson,O,O,O,O,O,Q,,,,,,,,,,,66.0,28.0,RG,11.0,11.0,335.0,2020-06-03,Mississippi St.,1991-07-12,5,5.0,Oakland Raiders / 3rd / 81st pick / 2014,6750000.0
Josh Jacobs,,,,,,,Q,,,,,,Q,Q,O,O,28.0,21.0,RB,13.0,13.0,220.0,2020-05-10,Alabama,1998-02-11,Rook,8.0,Oakland Raiders / 1st / 24th pick / 2019,495000.0
Andre James,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Isaiah Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Karl Joseph,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,42.0,26.0,SS,9.0,9.0,200.0,2020-05-10,West Virginia,1993-09-08,3,3.0,Oakland Raiders / 1st / 14th pick / 2016,2070589.0
