Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Keion Adams,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,Giants,2019
Jonathan Anderson,IR,IR,,,,,,,,,,,,,,,,,,Giants,2019
George Asafo-Adjei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Corey Ballentine,,,,,,,O,O,,,,,O,,,Q,,,,Giants,2019
Saquon Barkley,,,,O,O,O,,,,,,,,,,,22.0,RB,1897943.0,Giants,2019
Sam Beal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Q,,,,Giants,2019
Lorenzo Carter,,,,,Q,Q,,,,,,,,,,,24.0,ROLB,665613.0,Giants,2019
Corey Coleman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Ryan Connelly,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Tae Davis,,,,O,O,,,,,,,,,,,,,,,Giants,2019
Zak DeOssie,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Giants,2019
Garrett Dickerson,O,O,,,,,,,,,,,,,,,,,,Giants,2019
Rhett Ellison,,,,,,,,,,,O,O,O,O,O,O,31.0,fb,4475000.0,Giants,2019
Evan Engram,,,,,,O,,,,O,O,O,O,O,IR,IR,25.0,TE,1439391.0,Giants,2019
Amba Etta-Tawo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Wayne Gallman,,,,,,O,,,,,,,,,,,,,,Giants,2019
Brittan Golden,IR,IR,,,,,,,,,,,,,,,,,,Giants,2019
Jon Halapio,,,,,,,,,,O,,,,,,,28.0,C,645000.0,Giants,2019
Nate Harvey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Daniel Jones,,,,,,,,,,,,,O,O,,,22.0,QB,495000.0,Giants,2019
Kenny Ladler,IR,,,,,,,,,,,,,,,,,,,Giants,2019
Cody Latimer,,Q,O,,,,,,,,,,,,,,27.0,WR,925000.0,Giants,2019
Kareem Martin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,Giants,2019
Mark McLaurin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Alec Ogletree,,,,O,O,,,,,,,,,,,Q,28.0,IL,4000000.0,Giants,2019
Chris Peace,,,,,,,,,,,,,IR,IR,IR,IR,,,,Giants,2019
Jabrill Peppers,,,,,,,,,,,,O,O,IR,IR,IR,24.0,SS,1405181.0,Giants,2019
Mike Remmers,,,,,,,,,,D,,,,,,O,30.0,RT,1125000.0,Giants,2019
Victor Salako,IR,IR,,,,,,,,,,,,,,,,,,Giants,2019
Isaiah Searight,IR,IR,IR,IR,IR,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Russell Shepard,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2019
Sterling Shepard,,O,,,,O,O,O,,O,,,,,,,26.0,WR,1260623.0,Giants,2019
Scott Simonson,IR,IR,,,,,,,,,,,,,,IR,,,,Giants,2019
Darius Slayton,O,O,,,,,,,,,,,,,,,22.0,WR,495000.0,Giants,2019
Rod Smith,IR,IR,,,,,,,,,,,,,,,,,,Giants,2019
Golden Tate,,,,,,,,,,,,O,,,,,31.0,WR,1975000.0,Giants,2019
Henre' Toliver,IR,,,,,,,,,,,,,,,,,,,Giants,2019
Alex Wesley,IR,IR,,,,,,,,,,,,,,,,,,Giants,2019
Chad Wheeler,IR,IR,,,,,,,,,,,,,,,,,,Giants,2019
Ronald Zamort,IR,,,,,,,,,,,,,,,,,,,Giants,2019
Kevin Zeitler,,,,,,,,,,,,,,O,,,29.0,RG,10000000.0,Giants,2019
