Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
D.J. Alexander,,,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Dakota Allen,,,,,,,,,,,,,,,,Q,,,,Jags,2019
Alfred Blue,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Jags,2019
A.J. Bouye,,Q,Q,,,,,,,,,,,,,O,28.0,CB,13000000.0,Jags,2019
Cody Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Jags,2019
DJ Chark,,,,,,,,,,,,,,O,Q,,,,,Jags,2019
Marcell Dareus,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,rdt,2835000.0,Jags,2019
Seth Devalve,,,,,,,,,,D,O,O,D,,,,26.0,te,,Jags,2019
Nick Foles,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Jags,2019
Leonard Fournette,,,,,,,,,,,,,,,,D,24.0,RB,2933258.0,Jags,2019
Najee Goode,,,,,,,,O,,,,IR,IR,IR,IR,IR,,,,Jags,2019
Donnell Greene,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Ronnie Harrison,,,,,,,,,,,,O,Q,,,,22.0,SS,617500.0,Jags,2019
D.J. Hayden,,,,,Q,,,,Q,,,,,,,,29.0,DB,5750000.0,Jags,2019
Ben Ijalana,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Myles Jack,,,,,,,,,,,,Q,IR,IR,IR,IR,24.0,MLB,1313787.0,Jags,2019
Leon Jacobs,,,,,,,,O,O,,,,,,,,24.0,RLB,570000.0,Jags,2019
Marqise Lee,,Q,,,,,O,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Devante Mays,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Lerentee McCray,,,,,Q,Q,,,,,IR,IR,IR,IR,IR,IR,,,,Jags,2019
KC McDermott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Taj McGowan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Yannick Ngakoue,,O,,,,,,,,,,,,,,,24.0,LDE,2025000.0,Jags,2019
Nick O'Leary,,,,,,,,,,,,,,,,Q,,,,Jags,2019
James O'Shaughnessy,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27.0,TE,805000.0,Jags,2019
Cedric Ogbuehi,O,O,,,,,,,,,,,,,,,,,,Jags,2019
Josh Oliver,O,O,O,O,O,O,,,,,IR,IR,IR,IR,IR,IR,,,,Jags,2019
James Onwualu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Jalen Ramsey,,,,Q,O,Q,,,,,,,,,,,,,,Jags,2019
Cam Robinson,D,Q,,,,,,,,,,,,,,,24.0,LT,1103015.0,Jags,2019
Jake Ryan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,Jags,2019
Marcus Simms,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Jags,2019
Geoff Swaim,,,,Q,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Brandon Thomas,,,,,,,,,,,,,,IR,IR,IR,,,,Jags,2019
Michael Walker,,,,,,,,,,,,,,,,IR,,,,Jags,2019
Dede Westbrook,,,,,,,Q,Q,Q,,,,,,,Q,26.0,WR,645000.0,Jags,2019
Leonard Wester,IR,,,,,,,,,,,,,,,,,,,Jags,2019
Quincy Williams,,,,,,,,O,O,,,,,IR,IR,IR,23.0,LLB,495000.0,Jags,2019
